title,guest,date,time,city,theme,buttonLink,image,estado
Vamos lá aprender a provar vinho,Com Edgardo Pacheco e,2023-10-14,10:00,Porto,Vinho,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--vinho--01.jpg,Publicado
Vamos lá aprender a provar vinho,Com Edgardo Pacheco e,2023-10-21,10:00,Lisboa,Vinho,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--vinho--02.jpg,Publicado
Falemos de queijos a sério,Com Edgardo Pacheco e,2023-10-28,10:00,Lisboa,Queijo,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--queijo-01.jpg,Publicado
Falemos de queijos a sério,Com Edgardo Pacheco e,2023-11-04,10:00,Porto,Queijo,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--queijo-02.jpg,Publicado
O fabuloso mundo do vinho do Porto,Com Edgardo Pacheco e,2023-12-08,18:00,Lisboa,Vinho,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--vinho--01.jpg,Publicado
O fabuloso mundo do vinho do Porto,Com Edgardo Pacheco e,2023-11-07,18:00,Porto,Vinho,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--vinho--01.jpg,Publicado
E se explorássemos os azeites?,Com Edgardo Pacheco e,2023-12-01,10:00,Lisboa,Azeite,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--azeite--01.jpg,Publicado
E se explorássemos os azeites?,Com Edgardo Pacheco e,2023-11-25,10:00,Porto,Azeite,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--azeite--02.jpg,Publicado
Os espumantes não metem medo,Com Edgardo Pacheco e,2023-11-11,15:00,Lisboa,Vinho,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--espumantes--01-2.jpg,Publicado
Os espumantes não metem medo,Com Edgardo Pacheco e,2023-11-18,15:00,Porto,Vinho,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--espumantes--02.jpg,Publicado
O bacalhau quer cuidados,Com Edgardo Pacheco e,2023-12-07,18:00,Lisboa,Peixes,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--bacalhau--01.jpg,Publicado
O bacalhau quer cuidados,Com Edgardo Pacheco e,2023-12-15,18:00,Porto,Peixes,#,https://static.publico.pt/files/site/escola-do-gosto/img/events/_event--bacalhau--02.jpg,Publicado
